,date,rate,doac,population
0,2018-09-01,200.03901865746107,3000.0,15000
1,2018-10-01,199.92019177300176,3000.0,15000
2,2018-11-01,200.06811090067993,3000.0,15000
3,2018-12-01,200.01848569534087,3000.0,15000
4,2019-01-01,199.94879732395134,3000.0,15000
5,2019-02-01,199.88455125688245,3000.0,15000
6,2019-03-01,199.94964002465326,3000.0,15000
7,2019-04-01,200.0399958369715,3000.0,15000
8,2019-05-01,200.05620021495352,3000.0,15000
9,2019-06-01,199.911792041149,3000.0,15000
10,2019-07-01,200.09269849111587,3000.0,15000
11,2019-08-01,200.03531931599133,3000.0,15000
12,2019-09-01,200.0475147735584,3000.0,15000
13,2019-10-01,200.0056033328001,3000.0,15000
14,2019-11-01,199.99213242548245,3000.0,15000
15,2019-12-01,200.0527351681397,3000.0,15000
16,2020-01-01,199.98697113716506,3000.0,15000
17,2020-02-01,200.02477629984998,3000.0,15000
18,2020-03-01,200.0119557086115,3000.0,15000
19,2020-04-01,199.99050070123434,3000.0,15000
20,2020-05-01,199.86619539919758,3000.0,15000
21,2020-06-01,200.00834823586098,3000.0,15000
22,2020-07-01,200.00996364418796,3000.0,15000
23,2020-08-01,199.89943908627316,3000.0,15000
24,2020-09-01,199.9287231525969,3000.0,15000
25,2020-10-01,199.9223271989212,3000.0,15000
26,2020-11-01,200.04180111299607,3000.0,15000
27,2020-12-01,200.09685884975602,3000.0,15000
28,2021-01-01,199.99132941062663,3000.0,15000
29,2021-02-01,200.0646340125676,3000.0,15000
30,2021-03-01,199.92281752650592,3000.0,15000
31,2021-04-01,199.94608289356148,3000.0,15000
32,2021-05-01,200.06191895778616,3000.0,15000
